AffyHuEx 1.0PMID:20215517,TP_workbench_baseline_Mean,TP_workbench_baseline_Median,5_platform_avg
5.896363636,9.079,9.148,6.62
5.802363636,8.496,8.537,6.22
5.849681818,7.822,8.026,6.38
6.024636364,9.85,9.756,6.59
5.988136364,9.601,9.653,6.65
5.875045455,8.191,8.183,6.24
5.611545455,6.67,6.376,6.1
5.513318182,7.167,7.34,5.88
5.770727273,6.588,6.606,6.55
5.775954545,7.574,7.586,6.22
5.544636364,6.595,6.68,5.96
5.538681818,7.56,7.844,5.68
5.672727273,9.014,8.979,6.16
5.609727273,8.58,8.438,6.08
5.282772727,3.847,3.309,5.6
5.669954545,8.492,8.429,6.21
6.085272727,9.739,9.825,6.99
5.744818182,8.206,8.24,6.27
5.897818182,8.86,9.034,6.57
5.856,8.792,8.812,6.46
5.788363636,6.864,6.736,6.08
5.636136364,7.407,6.979,5.91
5.941954545,9.185,9.214,6.65
5.763272727,9.182,9.176,6.16
5.604954545,5.703,5.535,5.95
5.937227273,8.69,8.552,6.69
6.19,10.604,10.768,7.07
6.247318182,8.451,8.588,7.05
5.275590909,4.403,3.484,5.64
5.754136364,7.578,7.601,6.25
5.504727273,5.397,5.214,5.74
5.729590909,7.758,7.901,6.22
5.827045455,6.242,5.731,6.66
5.619772727,7.383,7.672,5.96
5.930636364,9.342,9.37,6.67
5.466045455,4.24,3.669,5.89
5.883954545,8.895,8.815,6.45
5.887772727,9.286,9.276,6.47
5.683590909,7.936,8.085,6.34
5.641136364,7.229,7.276,6
6.019590909,10.418,10.498,6.63
5.980090909,8.942,8.986,6.71
5.090545455,3.577,3.195,5.19
5.937045455,9.729,9.893,6.04
5.829727273,9.539,9.621,6.16
5.879954545,9.544,9.502,6.46
5.601409091,8.846,8.823,6.03
5.440409091,6.764,7.06,5.81
5.948363636,9.15,9.204,6.53
5.254318182,3.676,3.312,5.46
5.751272727,8.593,8.675,6.31
5.596227273,7.228,6.783,6.05
5.900545455,8.216,8.444,6.45
5.795681818,8.873,8.773,6.16
5.999318182,9.075,9.081,6.68
5.382318182,3.662,3.401,5.92
5.564590909,7.811,7.607,6.14
5.863636364,8.955,9.017,6.33
5.900181818,9.236,9.201,6.61